"wl","Sample_01/0012","Sample_01/0013","Sample_01/0014","Sample_01/0015","Sample_01/0016","Sample_02/0017","Sample_02/0018","Sample_02/0019","Sample_02/0020","Sample_03/0021","Sample_03/0022","Sample_03/0023","Sample_03/0024","Sample_04/0025","Sample_04/0026","Sample_04/0027","Sample_04/0028","Sample_05/0029","Sample_05/0030","Sample_05/0031","Sample_05/0032","Sample_05/0033"
300,54.5202967162063,53.9305023408997,54.1985118895906,54.0426533547982,48.0664916456669,52.4961874822624,56.6686555222433,49.4371293964884,56.0162891032614,50.0626356604823,46.4020535618186,48.5653467211258,48.8775587181968,25.7829970553102,43.4792085589951,32.014786418295,47.1455444695755,37.2258974616999,49.6112305742973,46.130663937869,42.2059980657524,40.4015047473597
301,55.0625549963423,54.5716611693806,54.7299117529983,54.6180543625365,48.3991656819189,52.5358623624661,56.6082525975099,49.6650237892941,56.0126217014385,50.2932964499701,46.7413377626701,48.7794789887455,49.0768822063799,25.7748536320824,43.6270926029613,32.0262803396054,47.2782042601906,37.2899461524285,49.816144185348,46.1978245055042,42.4046505355749,40.4073573141069
302,55.5162745389501,55.1883743408536,55.1635729872137,54.9024321665598,48.6005591390632,52.6693473948644,56.6487500055908,49.7959678698858,56.1492564105381,50.4080455459074,46.9283501189083,48.8463788009266,49.1362615312107,25.7617706019262,43.5992143759137,31.9147686120172,47.1895279826026,37.3774121674771,50.0782107666783,46.4993794508236,42.4893533857719,40.3959353967478
303,55.8536486211709,55.6213472502253,55.4606704388279,55.3222647687486,48.8963403004084,52.4053540048389,56.3617855345257,49.7391468619458,56.1877175969603,50.4328367325788,47.0858487987318,48.9762055263337,49.033262393776,25.8670443120996,43.6411891625409,31.8473367872679,47.1984977423459,37.223304837045,50.2953167871705,46.7068421756043,42.4099095139605,40.4548391750522
304,56.2023678302483,55.6674956141721,55.5754894316191,55.6082867503276,49.1102311836899,52.1560731906144,56.3459390462866,49.7248510614862,56.0466435244007,50.4703142915575,46.8055574172044,48.7103099152581,48.7997588724771,25.8487368181102,43.4228882663826,31.5897617596937,46.7882031492626,36.7918854350597,50.3285304583369,46.358646378446,42.167578602792,40.1563113109286
305,56.4951617498091,56.1150286508414,55.891688577097,55.9382606535116,49.1686201453819,52.0518011021876,56.1529859404948,49.6596675816764,55.8118983166207,50.3894476195032,46.7483122086188,48.7627269532419,48.7848028898018,25.7445933236212,43.2016805637,31.4615800522637,46.8004411010962,36.7330847589679,50.4733843204879,46.2116553565138,42.1992780439336,40.1058253591732
306,56.6201759064242,56.4115130727451,56.0184404822375,56.1063841297994,49.166134868378,51.712259516078,55.8623176303844,49.2591979804691,55.7014451243941,50.0588844084525,46.569478921492,48.4684146680893,48.6041050522231,25.610109463771,43.2182117066717,31.1716568824656,46.5704785349129,36.7659142568122,50.6092526550173,46.1820903336682,41.9733683098586,39.6664190243675
307,56.8964674789217,56.8116300652001,56.1617165546644,56.2648561269168,49.1402884463839,51.4647585703129,55.6654031910605,49.1180053503146,55.7332811085892,49.8029924733958,46.1753231687944,48.3015337202462,48.5575108830081,25.4091892138359,43.0754309578569,30.9373839877238,46.4619156948839,36.7169339303466,50.5773440742718,46.3182514990777,42.0414562519727,39.6448315588386
308,56.7919776119052,56.959107625692,56.2390054754436,56.3633997059442,49.1744647105831,51.2727261739417,55.413688863972,48.8055372195427,55.547668125818,49.5344287348482,45.8043841992391,48.1521735419172,48.202486283144,25.4959478392815,42.8566221500912,30.8973598998073,46.3165981281185,36.5643754046238,50.4755670910069,46.484351670453,42.1105664323193,39.5207952141071
309,57.0453754056121,57.0895346207573,56.600995128595,56.4693444308514,49.5165102626589,51.3553159720018,55.5436610730891,48.6679858770827,55.4721552796216,49.1501567200424,45.5894366606502,48.3191157836,47.6736430077049,25.5248220596144,42.7480202540869,30.980224011621,46.3792333537622,36.4199485206213,50.6248789145745,46.5465162191941,42.2182261744013,39.5960327515664
