"wl","1068_03_03_blankie/SPECTRUM0072","1068_03_03_blankie/SPECTRUM0073","1068_03_03_blankie/SPECTRUM0074","1068_03_03_blankie/SPECTRUM0075","1106_05_02_blankie/SPECTRUM0012","1106_05_02_blankie/SPECTRUM0013","1106_05_02_blankie/SPECTRUM0014","1106_05_02_blankie/SPECTRUM0015","1116_05_02_blankie/SPECTRUM0053","1116_05_02_blankie/SPECTRUM0054","1116_05_02_blankie/SPECTRUM0055","1116_05_02_blankie/SPECTRUM0056","1116_05_13_blankie/SPECTRUM0036","1116_05_13_blankie/SPECTRUM0037","1116_05_13_blankie/SPECTRUM0038","1116_05_13_blankie/SPECTRUM0039","1118_05_05_blankie/SPECTRUM0012","1118_05_05_blankie/SPECTRUM0013","1118_05_05_blankie/SPECTRUM0014","1118_05_05_blankie/SPECTRUM0015","1120_05_01_blankie/SPECTRUM0055","1120_05_01_blankie/SPECTRUM0056","1120_05_01_blankie/SPECTRUM0057","1120_05_01_blankie/SPECTRUM0058"
300,17.4502324710873,16.4818325551628,16.3273219576391,17.0464433517232,18.0471387292935,13.7149870651952,20.1136586091667,15.9336958805575,21.3476582026066,22.8769855082961,23.194700151859,22.0490988537773,20.4957099475945,17.857705666005,16.2342221633451,15.7502558114001,25.4345058641978,23.3405713047051,22.4927041048219,21.7169944435688,23.7944797722116,28.7303847532988,27.8552657851581,22.9602729633213
301,17.6949035103225,16.5991841961453,16.5175443762178,17.3434365816481,18.0947605829142,13.7877146388,20.1798353787149,15.97713518679,21.6240045197482,23.0189312448915,23.5680708192241,22.3522701270355,20.6066580105863,18.0360988587908,16.4576382970492,16.0602098346991,25.7828161751486,23.6173051883727,22.7695841702951,21.9260356241339,23.9776055916365,29.2921475114128,28.0180137829986,23.2868387527521
302,17.9933969645935,16.9964998362032,16.9566508049965,17.8179139142224,18.2882225287887,13.9794946980546,20.4438103829684,16.184191913646,22.056527126396,23.3648525693341,23.9874346177379,22.7281582950314,21.1343249175374,18.4474863572525,16.6805140221466,16.2569074657504,26.0961403619557,23.9685757905379,23.2336833753833,22.1079064283387,24.2939130338857,29.7892836828166,28.3217951131064,23.8281559779075
303,18.0748927731653,17.5282857981879,17.2513824969838,18.1044881398241,18.2452091898286,14.0028971200546,20.553756003345,16.2617485581843,22.4842498435808,23.8035763073988,24.47022939268,22.8727686885255,21.5316324960095,18.7200397058513,16.9965539447994,16.7099329615731,26.4241697372716,24.2521547299726,23.5743490065682,22.3295932324286,24.5142077326925,30.2180069526342,28.5538351205579,24.1172803507295
304,18.3955066426441,17.6938312436521,17.5964211012788,18.6275296405624,18.3935580465708,14.1434034232979,20.8661899816359,16.503188086561,22.8485818631245,24.026595797567,25.0296020910302,23.2553996652311,22.0066690355047,19.2180607712552,17.2605109029658,16.9950275044827,26.7184272908456,24.4623723631462,23.8182799794649,22.5387112577203,24.9245854411666,30.8112067990693,28.8788600368311,24.2155812940939
305,18.5213392146741,17.6810581449621,17.5671029496211,18.8041666157227,18.2613066426033,14.1886555360232,20.6271467622636,16.3465851389393,22.8337621919477,24.0770111714988,25.002566206455,23.3435034890159,22.055833443926,19.3057128982457,17.1078997628865,17.1082960759731,26.7547285690214,24.7656783889054,23.832546901471,22.5115778593221,24.817344920314,30.6929806045003,28.9371008785821,24.3577602992536
306,18.9090131786807,17.7837657635879,17.6146790700587,19.0928055622079,18.3526322912701,14.2935923062866,20.7532301203509,16.7119342131928,23.3522817255011,24.3701221345955,25.1756048017153,23.6221247108557,22.3662685442179,19.6494654598388,17.4557564656829,17.4878701747458,27.3092349758058,25.1264126081725,24.3665819667634,22.8961187603626,25.0927845282428,31.1147521627273,29.3863618392442,24.7593475597841
307,19.0264429487636,17.7677485271405,17.8061260857489,19.2305074754274,18.3300213055765,14.3278990191429,20.9663689621205,16.9784319280523,23.417702177541,24.6446906632076,25.2895999285291,23.8556027284754,22.4074512190746,19.7656785770659,17.6631976933237,17.6598613857968,27.2804492508648,25.1861153116307,24.5887626923594,23.1245587584642,25.2257471120456,31.2529221919192,29.6167674563197,25.0369153945543
308,19.0716922743728,17.740879880837,17.8144558105915,19.2782841371959,18.4794308156424,14.3786454135548,21.0925597478871,17.030087452463,23.5326747191132,24.7945749489011,25.4808651149143,23.9729442739907,22.3896334757851,19.679790790941,17.6666907403732,17.729083861303,27.5513181121694,25.3068342996919,24.8367858837119,23.1689751720584,25.2785629549653,31.0976268414682,29.780982529954,25.1280945515528
309,18.7077651496444,17.593975118741,17.529761215278,18.9917733640904,18.4860725767071,14.3475736483761,20.9636137504526,16.8408129441201,23.3893024981165,24.8409623798498,25.2604948507838,23.9780275724441,22.5432315215319,19.3515131706343,17.6255226493545,17.5774383853811,27.6266681031118,25.2995463352385,24.4193274738176,23.0641912741769,25.0051695216267,30.6472081011767,29.7327084551801,24.9198981261396
