"","B1","B2","B3","S1U","S1V","S1B","S1G","S1Y","S1R","S2","S3","S4","S5","S6","S7","S8","S9","S10","H1","H2","H3","H4","H5"
"1068_03_03_blankie",9806.20928129324,24.4543872351452,35.3680796911606,0.192570035097342,0.223859242729262,0.248987147279322,0.255360370685658,0.21543663099815,0.310517920959924,2.09640619250979,0.182278137325382,0.124257805339141,1215.36691900095,18.4972653339399,0.101936955424822,0.756398643567567,0.378970452992809,0.0939884354112092,697,358,555,0.625970872733543,300
"1106_05_02_blankie",9696.43908007716,24.1806460849805,38.3194632414152,0.182665294879481,0.212063112278165,0.23211235957676,0.259930492694492,0.225684766870271,0.332657965613642,2.26758032207061,0.184449267036802,0.0587689546915406,1577.56551558948,21.4206293309038,0.146695078478666,0.885858436355389,0.479038336332758,0.0520609743092889,700,345,573,0.547290091573724,689
"1116_05_02_blankie",13789.2356220564,34.387121252011,51.3366403146596,0.176657181670113,0.205494135108309,0.242576293673373,0.265337395325365,0.224113861195789,0.322856933975296,2.30260790307382,0.185831504392989,0.188815940138866,2142.78275373111,29.0416415673137,0.0228444486855864,0.844549950967918,0.421423711256359,0.159464492986241,698,358,547,0.685434856670783,300
"1116_05_13_blankie",10468.255862752,26.1053762163392,38.4436631494472,0.188046855406277,0.218234664001207,0.245100365580158,0.260205592361448,0.219056722880429,0.314070868962948,2.18688038813237,0.180777200096754,0.146774121223878,1420.58536993227,20.8644378026606,0.0685988237409818,0.799239115719068,0.405546843279579,0.117307618857415,698,358,551,0.647327061113472,300
"1118_05_05_blankie",13549.6550283955,33.7896634124577,44.5343782868321,0.198322634470034,0.230966724976949,0.259840197528437,0.256579466755788,0.211551403929489,0.292768163264937,1.91334407403098,0.160341573966017,0.108264015243833,1357.62043180862,21.2587014803034,-0.135993477402751,0.629148068769033,0.292573973472175,0.0681140961078386,700,358,501,0.764513232011874,300
"1120_05_01_blankie",11340.6470910012,28.2809154389057,35.414104112852,0.240282539441548,0.27520856851692,0.258349418425377,0.236950237285799,0.194485349706964,0.271739523524835,1.38429187816429,0.161375426570764,0.200572155491848,574.878460730354,9.83127387923498,0.585933933594066,0.347629266120226,0.254823611437989,0.0697247512177831,696,358,629,0.147865986371067,300
