"","B1","B2","B3","S1U","S1V","S1B","S1G","S1Y","S1R","S2","S3","S4","S5","S6","S7","S8","S9","S10","H1","H2","H3","H4","H5"
"Sample_01",21229.0264752652,52.9402156490403,56.1625620801402,0.260644106476385,0.299503911789128,0.28578791768492,0.235279788225765,0.183123747046862,0.225763067839741,1.14181296230091,0.170490866232525,0.248495253308739,549.015830723633,6.97537999826478,0.220295302966431,0.131759569029848,-0.100758787142637,0.0327416274819225,315,489,537,-2.6559066407408,300
"Sample_02",17959.7719145956,44.787461133655,53.8463221064733,0.273471269615068,0.312409354102384,0.283146552515466,0.228454927993293,0.178101107266756,0.222292368282438,1.31043454706684,0.142662940189701,0.300378113004996,727.37606576331,12.7558897556181,-0.727889318453229,0.284809396039484,-0.106983012441078,0.0855505089484328,300,320,348,-2.22571347214639,480
"Sample_03",14433.3787738518,35.9934632764385,48.7284010768312,0.290465339132584,0.330051120287604,0.283889782429792,0.223084198596448,0.172266097167104,0.209863884495684,1.59904781978813,0.158565517846822,0.335771297353695,960.505487369769,18.2550153069874,-0.619384031813858,0.507175849314208,-0.196158335680649,0.170295092910694,301,317,363,-2.18752107449218,480
"Sample_04",11812.3993245088,29.4573549239621,37.2549273442737,0.287130879101275,0.327275541691639,0.28378625575267,0.225149870822971,0.174486544558492,0.211279221100393,1.48386095333195,0.150098016078393,0.222614305833922,727.635884639603,12.1481764316499,-0.279246490116684,0.412398752807502,-0.189361692593429,0.0918058620830173,300,317,428,-2.2161866633108,480
"Sample_05",15546.0109271646,38.7681070502857,43.2854701588438,0.264203721184561,0.302745166810503,0.283218848471666,0.235337311561367,0.183498100968011,0.224688638225441,1.23186588175001,0.167032507777972,0.242128654881462,416.856090737835,8.14733474969384,-0.105104358106611,0.210155598753533,-0.0990224370204948,0.0508846924420011,312,317,472,-2.50634867628269,480
